Year,Charge All,Charge 4-year,Charge 2-year,Tuition All,Tuition 4-year,Tuition 2-year,Dorm All,Dorm 4-year,Dorm 2-year,Board All,Board 4-year,Board 2-year
2018-19 ,18381.147120357953,20596.984425115646,10950.849957642517,7247.94881139222,9211.803768200822,3312.1794903174514,6290.447801799114,6458.516251208717,4057.0743284003897,4842.75050716662,4926.6644057061085,3581.596138924674
2019-20,18836.215438548366,21035.375660311147,11059.634470037074,7410.340751852907,9349.141650763859,3376.908301461599,6482.717646240032,6654.850765446763,4105.145588150396,4943.157040455426,5031.383244100526,3577.5805804250786
2020-21,19372.136068602005,21336.9679268097,11559.721470748422,7635.28672287838,9374.160910292236,3503.4195890966525,6630.13284824307,6774.2091371783645,4407.592981117657,5106.716497480556,5188.597879339098,3648.7089005341127
2021-22,19874.75890228118,21831.933392742136,11605.391486106833,7869.071230066359,9596.01154861087,3563.4316545064125,6798.434723840882,6944.19745752367,4428.462105697967,5207.252948373941,5291.724386607595,3613.4977259024536
2022-23,20401.329198193882,22389.145708377808,11953.33594035091,7998.051285737687,9749.986950440027,3597.9968707455873,7016.915798394,7167.025015426793,4565.823327091951,5386.362114062194,5472.133742510988,3789.515742513371
1963-64 ,1815,1809.7041168049175,1313,1012,1010.7931274613844,642,316,312.69848480252614,244,487,486.2125045410069,427
1968-69 ,2321,2356.109386370991,1876,1383,1417.1284968668008,956,404,404.5221958634543,391,534,534.4586936407361,529
1969-70 ,2527.482348950781,2558.7564488134194,1993,1533,1561.8566450320507,1034,434.1065252966977,435.54453808458265,413,560.3758236540833,561.355265696786,546
1970-71 ,2729.0300619041427,2754.4988943278145,2103,1684,1706.297803528291,1109,462.384405037689,464.14822356336106,434,582.6456568664532,584.0528672361623,560
1971-72 ,2902.307702253884,2918.6005537140636,2186,1820,1832.157555621508,1172,485.51957820909615,487.7304454292641,449,596.7881240447882,598.7125526632915,565
1972-73 ,3036.1062949200914,3091.293582040803,2273,1898,1948.308051722259,1221,522.9215581275569,526.6570202123625,457,615.1847367925347,616.3285101061813,595
1973-74 ,3162.3120039128466,3221.7828614395307,2410,1989,2044.52649524535,1303,531.9964534882382,534.9108543757784,483,641.3155504246082,642.3455118184024,624
1974-75 ,3388.093473017948,3404.1089832863927,2591,2117,2130.384525505102,1367,577.9779037524969,578.7588113696157,564,693.115569265451,694.965646411675,660
1975-76 ,3644.255061681675,3668.7116072024755,2711,2272,2291.253118286456,1427,625.4551571260855,628.6068179499065,572,746.7999045555896,748.8516709661131,712
1976-77 ,3906.0464938261657,3976.9593926372377,2970.8781418930803,2466.704551374348,2534.0240329764306,1592,648.8833575835505,651.439567974355,607.3416311017136,790.4585848682674,791.4957916864519,771.5365107913669
1977-78 ,4158.275525544944,4240.087786848473,3147.863753685736,2623.7104747159547,2700.299029362105,1705.5085789945092,698.11588495773,702.069366863005,631.4778160122466,836.4491658712589,837.7193906233631,810.87735867898
1978-79 ,4514.239359656215,4609.449060383157,3389.3315408420426,2867.495397979542,2957.9237141576386,1830.7982754469392,757.7568052022023,761.0646028821924,700.1061730715024,888.9871564744711,890.4607433433265,858.4270923236007
1979-80 ,4912.451170647125,5012.585275782119,3751.3042843667877,3130.074459989949,3225.0389073269703,2061.7245998039857,827.2269469575637,830.841537927181,766.3154941405504,955.1497636996122,956.7048305279682,923.2641904222515
1980-81 ,5470.009692281579,5593.533066754559,4302.872388638685,3497.920622116668,3616.835567194923,2412.9529032072155,917.6253175376036,920.5409751091423,871.3752480861922,1054.4637526273084,1056.1565244504936,1018.5442373452777
1981-82 ,6165.508491645934,6329.846391754379,4746.323560554246,3952.5927935941577,4113.3190868690035,2604.746018344799,1037.543073798843,1038.5182509277527,1022.4377603598848,1175.3726242529328,1178.0090539576224,1119.1397818495625
1982-83 ,6919.930684526903,7125.96976074303,5364.2339303171775,4438.847316266224,4638.91891697788,3008,1181.1500288207617,1181.4096432334788,1177.2649215485296,1299.9333394399173,1305.6412005316702,1178.9690087686477
1983-84 ,7508.397215695914,7759.434659225116,5571.039772258413,4850.5708304018735,5092.950750143561,3099,1277.64160382498,1279.1544395288763,1252.9035524155431,1380.1847814690607,1387.3294695526783,1219.13621984287
1984-85 ,8202.109910131423,8450.621474302236,6203.324791821668,5314.528636045944,5555.859458632438,3485,1425.8721243251587,1425.9808063418225,1424.1293739042724,1461.7091497603199,1468.781209327976,1294.195417917396
1985-86\5\ ,8884.525242561962,9228.160617112355,6512,5788.795717340753,6120.558325391861,3672,1553.435316392078,1556.7676684471717,1500,1542.2942088291313,1550.8346232733213,1340
1986-87 ,9676.151588554181,10039.397040425574,6383.711499784314,6315.774966379387,6658.444593981333,3683.6864761495444,1658.3977854089285,1673.4191283747937,1265.9393093490555,1701.9788367658666,1707.5333180694474,1434.0857142857142
1987-88 ,10511.539684611127,10659.263151024186,7077.884326672705,6988.310505885599,7116.105052371572,4160.940530939602,1747.7774939476217,1760.2451469653395,1380.2862747009087,1775.4516847779064,1782.9129516872747,1536.6575210321957
1988-89 ,11189.476115355157,11474.172179092091,7966.930761382315,7461.056967284986,7721.603548856176,4817.440656452384,1848.797911558897,1863.4189210209768,1540.05317465777,1879.6212365112726,1889.1497092149384,1609.4369302721602
1989-90 ,12018.249144086505,12283.96681921593,8670.251957465503,8147.205645410159,8396.328498140683,5196.28476455156,1923.1638912548697,1934.902130053514,1663.0997930744609,1947.8796074214777,1952.7361910217326,1810.867399839483
1990-91 ,12909.795383433313,13237.158897831523,9302.288566516272,8772.27252966551,9082.536420349505,5570.020599516523,2063.311950102679,2077.445854360665,1743.7312442060654,2074.2109036651227,2077.1766231213523,1988.536722793684
1991-92 ,13892.390729787381,14257.554574299425,9632.498264990041,9419.408482853516,9759.443078465356,5754.131164248975,2221.315041704533,2240.910099099662,1788.4306948564613,2251.667205229332,2257.201396734406,2089.936405884604
1992-93 ,14633.640124851394,15009.398962924373,9903.441794098437,9941.640967845857,10293.533165318731,6058.846391974765,2348.0345290550117,2361.700786602993,1969.9851547484923,2343.9646279505246,2354.1650110026485,1874.6102473751796
